Minimum spanning tree found in the largest module, formatted as 'word1', 'word2', weighttuesday, monday, 0.3513605269749613
tuesday, thursday, 0.36953194443100584
tuesday, wednesday, 0.38052035290948627
22, 21, 0.4409692399695584
26, 28, 0.44173350618896917
28, 27, 0.4460880535040139
38, 37, 0.4512233051428085
september, october, 0.46414369161069075
27, 29, 0.466547992380205
june, july, 0.47037966926521185
october, february, 0.4760075577299168
14, 13, 0.48129422304479197
22, 26, 0.48659987242086294
23, 27, 0.5012066164686575
19, 21, 0.5087230438395041
july, april, 0.5175985036385344
34, 37, 0.5263655743425856
17, 19, 0.5294438430445291
october, august, 0.5504391314632345
14, 16, 0.5781500774566151
2003, 2002, 0.5806593924858187
36, 34, 0.5954554972350494
“, ”, 0.6027176593696255
33, 37, 0.6056750076924505
january, february, 0.6073980564959031
december, october, 0.6085375265046931
20, 30, 0.612673668755001
13, 17, 0.6152632518019908
1998, 1997, 0.618913273474394
2001, 2003, 0.6244676697580107
five, six, 0.6318530623532341
2011, 2012, 0.6424514454693756
1998, 1999, 0.6496037155628731
five, seven, 0.6678664976357299
thursday, friday, 0.6680589063075233
2012, 2013, 0.6834360695879974
3, 4, 0.6851397636261962
2004, 2005, 0.6872676309831582
november, february, 0.6873911105724599
4, 6, 0.688550395468625
2006, 2005, 0.6898994255295479
2008, 2007, 0.6930640637558768
7, 9, 0.7005214096839867
1981, 1978, 0.7053802430887897
4, 5, 0.7080859873101569
2004, 2002, 0.7082482133925242
7, 8, 0.7101814937640941
6, 8, 0.71564806374642
seven, nine, 0.7245648961471336
28, 31, 0.7259935935626429
1996, 1997, 0.7333892622698263
oct., nov., 0.738986205032117
1982, 1981, 0.7470766781609501
1988, 1984, 0.7471450834257627
2007, 2005, 0.7484117554174374
april, november, 0.7523136127597587
sunday, saturday, 0.7601089836846359
seventh, eighth, 0.7653293972233197
2008, 2009, 0.7716189416486612
six, eight, 0.7719312891598578
2, 3, 0.7747136019938983
1979, 1981, 0.7873513912692921
1985, 1981, 0.788996917282951
1976, 1978, 0.790401868226341
32, 33, 0.7943592376187236
four, six, 0.7947050432814742
12, 14, 0.7950013558895921
1994, 1993, 0.7980242166713991
march, april, 0.8066213752160118
1987, 1985, 0.8066814907071813
1986, 1987, 0.8193650205752988
2002, 1998, 0.8242556056072654
1975, 1974, 0.838193395513953
2010, 2009, 0.8520933833888161
1983, 1982, 0.869465641419464
sixth, seventh, 0.8718614945661266
1999, 1993, 0.8755051405155142
1979, 1975, 0.8758717557496019
1993, 1992, 0.8794492663360406
oct., feb., 0.8816244946970109
1997, 1995, 0.8866395029513349
however, although, 0.8892059019628581
60, 80, 0.8915666751204027
20, 15, 0.8943877790975232
1984, 1980, 0.901323659973486
50, 60, 0.9041382600394975
15, 12, 0.9051443340036991
60, 70, 0.9196378012702883
1980s, 1970s, 0.9214238721837503
36, 48, 0.9225248988353864
50, 40, 0.9232966603177387
1984, 1976, 0.924592368402687
10, 15, 0.927821724556501
jan., nov., 0.9327401600974465
fifth, sixth, 0.9335525046963776
35, 36, 0.93985970321556
especially, particularly, 0.944230779757057
2009, 2011, 0.9528614882447501
1972, 1978, 0.9688325227884796
1980s, 1990s, 0.9744531957433853
oct., aug., 1.0041620123813486
third, fourth, 1.007852666617001
1970s, 1960s, 1.0173625134308029
11, 14, 1.0248693898122094
dec., jan., 1.0335885469595725
1992, 1990, 1.0356923525690434
second, third, 1.0486214294650937
80, 90, 1.0557353638000624
80, 75, 1.0608109873318667
1992, 1989, 1.0658804180135966
300, 150, 1.068661683416225
48, 55, 1.072131449665949
eighth, ninth, 1.0808636206205666
fact, indeed, 1.09456434868189
200, 300, 1.0999745928624898
75, 55, 1.1014208742128597
1992, 1988, 1.1097155287542344
2000, 1998, 1.1104176146297573
200, 400, 1.1260708402853703
nor, neither, 1.1285198862703216
often, sometimes, 1.1356136232311067
although, though, 1.1500038073382757
nothing, anything, 1.1501773117862388
24, 26, 1.1524422803785708
thousands, hundreds, 1.1566477098121493
kind, sort, 1.163533610919474
1991, 1989, 1.1679306026125185
everyone, everybody, 1.1753863565006337
25, 24, 1.1845590012189178
1, 2, 1.2005528493581612
should, must, 1.2249138242544901
18, 24, 1.2281716837098793
1974, 1967, 1.23136003199747
northwest, southwest, 1.243157034108322
so, even, 1.2446340422975297
fourth, fifth, 1.2582231581812542
10,000, 2,000, 1.2991465344783169
perhaps, indeed, 1.3053262239270496
small, large, 1.3067512020493035
took, came, 1.3187804142281458
morning, afternoon, 1.3307415576068855
know, why, 1.3342501712803188
again, finally, 1.337688632789021
1,000, 2,000, 1.3517171554854106
something, anything, 1.3684626433606069
create, creating, 1.3819943533504073
must, cannot, 1.3831693197605999
concerns, concern, 1.3866091062941999
used, using, 1.3917870036473108
something, thing, 1.402519224618725
going, go, 1.411498933423042
what, why, 1.422213314274005
really, something, 1.442421308026105
southern, northern, 1.445510934636954
what, how, 1.4517854258234737
45, 44, 1.4538828179868588
show, shows, 1.461579380150117
though, fact, 1.4662452887200559
still, even, 1.4671078876701125
though, yet, 1.4751971907346622
anything, else, 1.48632031223567
think, really, 1.4998120689488699
certainly, indeed, 1.5058142896639877
45, 65, 1.5061456796868125
very, quite, 1.5073126335835605
because, even, 1.5213245140848974
even, much, 1.5258571700278014
thus, therefore, 1.5259122470962119
fact, reason, 1.5317251158801177
everyone, else, 1.5372778058746372
16, 9, 1.5380155647613063
35, 45, 1.550090034093504
allowed, allowing, 1.5519571420658658
seeking, seek, 1.555111506587492
even, though, 1.5560590776429826
10,000, 100,000, 1.562358765958469
